S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm),Required_Actions
2223,8.3,0.17,0.19,26.0,325.0,0.32,3.14,0.38,2.84,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2224,8.6,0.13,0.13,38.0,38.0,0.28,3.56,0.32,2.56,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Potassium is Low -> Increase MOP (Muriate of Potash) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2225,8.5,0.15,0.21,41.0,409.0,0.38,2.72,0.28,3.26,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2226,8.4,0.17,0.18,23.0,339.0,0.24,3.58,0.34,3.1,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2227,8.3,0.19,0.26,20.0,254.0,0.38,3.1,0.28,3.58,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2228,8.1,0.25,0.18,26.0,381.0,0.24,3.92,0.44,4.78,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2229,8.1,0.2,0.23,33.0,409.0,0.32,3.24,0.32,3.42,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2230,8.2,0.19,0.15,67.0,339.0,0.36,2.82,0.3,3.98,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2231,8.3,0.24,0.2,51.0,296.0,0.28,2.56,0.38,4.4,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2232,8.1,0.18,0.316,44.0,423.0,0.3,2.78,0.26,2.82,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2233,8.3,0.17,0.29,31.0,325.0,0.24,3.24,0.32,2.48,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2234,8.3,0.19,0.21,26.0,353.0,0.32,3.1,0.26,3.26,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2235,8.3,0.27,0.16,20.0,282.0,0.24,2.78,0.38,3.78,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2236,8.1,0.2,0.13,33.0,339.0,0.38,2.5,0.52,4.6,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2237,8.3,0.169,0.23,23.0,395.0,0.26,3.24,0.44,4.1,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2238,8.2,0.23,0.2,38.0,423.0,0.4,3.96,0.4,2.82,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2239,8.5,0.29,0.16,46.0,381.0,0.22,3.1,0.38,2.56,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2240,8.3,0.28,0.18,23.0,466.0,0.38,2.82,0.52,3.54,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2241,8.2,0.26,0.29,0.31,409.0,0.32,3.76,0.38,3.44,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2242,8.0,0.2,0.21,46.0,480.0,0.28,3.1,0.28,3.56,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2243,8.5,0.23,0.16,38.0,437.0,0.32,3.94,0.32,4.1,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2244,8.1,0.24,0.23,44.0,367.0,0.4,3.1,0.4,2.88,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2245,8.2,0.2,0.28,28.0,339.0,0.26,2.42,0.28,3.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2246,8.4,0.19,0.24,33.0,296.0,0.28,2.88,0.32,3.58,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2247,8.0,0.18,0.16,49.0,381.0,0.3,2.46,0.26,4.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2248,8.4,0.2,0.23,26.0,254.0,0.24,2.78,0.38,2.96,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2249,8.5,0.24,0.29,31.0,367.0,0.28,3.24,0.24,3.28,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2250,8.3,0.25,0.16,54.0,437.0,0.32,3.1,0.3,3.78,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2251,8.2,0.2,0.19,36.0,381.0,0.26,2.48,0.26,4.18,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2252,8.4,0.21,0.27,23.0,480.0,0.38,3.78,0.38,3.24,Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2253,9.3,0.18,0.13,26.0,268.0,0.38,3.42,0.32,3.14,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2254,9.0,0.07,0.18,18.0,353.0,0.24,3.28,0.28,3.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2255,8.8,0.06,0.22,36.0,437.0,0.36,3.1,0.34,2.94,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2256,8.9,0.1,0.11,23.0,381.0,0.42,2.98,0.3,3.28,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2257,9.0,0.08,0.16,31.0,480.0,0.4,3.54,0.26,4.5,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2258,8.7,0.07,0.29,38.0,339.0,0.28,3.1,0.3,3.2,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2259,8.8,0.06,0.15,46.0,310.0,0.24,2.88,0.28,2.84,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2260,9.3,0.09,0.19,59.0,423.0,0.3,2.54,0.44,3.64,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2261,8.9,0.07,0.14,23.0,466.0,0.28,3.1,0.4,3.7,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2262,8.8,0.06,0.12,18.0,409.0,0.24,2.76,0.28,2.98,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2263,9.0,0.1,0.17,20.0,310.0,0.32,2.48,0.36,3.24,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2264,8.9,0.09,0.13,36.0,282.0,0.22,3.24,0.54,3.94,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2265,8.8,0.08,0.21,26.0,395.0,0.3,2.5,0.44,3.48,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2266,8.8,0.07,0.16,38.0,480.0,0.26,3.28,0.4,4.28,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2267,9.1,0.08,0.14,67.0,437.0,0.24,3.1,0.38,3.56,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2268,8.7,0.09,0.23,28.0,339.0,0.32,2.92,0.5,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2269,8.8,0.07,0.21,20.0,466.0,0.28,2.48,0.28,4.1,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2270,8.9,0.08,0.16,41.0,381.0,0.2,2.94,0.34,3.84,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2271,9.0,0.06,0.19,38.0,310.0,0.32,3.2,0.3,3.5,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2272,9.1,0.07,0.24,51.0,282.0,0.26,3.1,0.28,4.28,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2273,9.3,0.09,0.21,26.0,395.0,0.38,2.46,0.26,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2274,9.2,0.06,0.19,23.0,310.0,0.3,3.24,0.3,3.56,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2275,9.0,0.07,0.11,20.0,409.0,0.24,3.1,0.38,3.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2276,8.9,0.08,0.15,44.0,325.0,0.32,2.88,0.26,4.7,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2277,8.8,0.07,0.23,49.0,395.0,0.28,3.16,0.32,4.7,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2278,8.9,0.06,0.21,31.0,296.0,0.24,3.7,0.28,3.56,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2279,9.0,0.08,0.18,20.0,437.0,0.3,2.54,0.38,3.1,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2280,9.2,0.09,0.21,18.0,409.0,0.24,3.28,0.44,3.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2281,9.0,0.08,0.13,26.0,310.0,0.38,3.1,0.38,4.38,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2282,8.9,0.07,0.21,23.0,282.0,0.3,2.82,0.34,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2283,9.0,0.09,0.19,23.0,296.0,0.6,3.74,0.34,3.48,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Iron (Fe) is Low -> Apply Ferrous Sulfate
2284,8.9,0.1,0.21,36.0,339.0,0.38,2.9,0.28,4.64,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2285,9.2,0.08,0.24,51.0,395.0,0.3,2.64,0.46,3.94,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2286,9.3,0.09,0.16,20.0,282.0,0.24,2.32,0.32,3.24,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2287,9.0,0.07,0.14,18.0,409.0,0.32,3.28,0.28,4.1,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2288,8.9,0.08,0.19,28.0,452.0,0.28,3.78,0.38,2.82,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2289,9.0,0.09,0.21,33.0,325.0,0.3,3.42,0.4,3.64,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2290,8.9,0.12,0.27,49.0,282.0,0.26,2.86,0.36,3.4,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2291,8.8,0.08,0.21,23.0,310.0,0.38,2.7,0.44,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2292,9.0,0.07,0.18,20.0,423.0,0.3,3.54,0.28,4.1,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2293,9.1,0.09,0.15,28.0,466.0,0.26,3.78,0.32,4.82,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2294,9.2,0.08,0.11,31.0,282.0,0.24,3.5,0.26,4.4,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2295,9.3,0.07,0.17,36.0,353.0,0.38,2.96,0.54,2.94,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2296,8.8,0.08,0.21,41.0,310.0,0.3,3.1,0.36,2.82,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2297,8.7,0.09,0.27,49.0,254.0,0.24,3.1,0.3,3.54,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2298,8.6,0.09,0.16,56.0,339.0,0.28,2.88,0.22,3.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2299,8.9,0.1,0.11,31.0,381.0,0.32,2.36,0.34,4.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2300,8.8,0.13,0.15,23.0,254.0,0.28,2.7,0.44,3.54,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2301,8.9,0.09,0.18,59.0,310.0,0.3,2.56,0.38,3.18,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2302,8.8,0.11,0.21,28.0,409.0,0.26,3.2,0.42,3.54,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2303,8.9,0.1,0.27,23.0,268.0,0.3,3.1,0.26,3.4,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2304,9.0,0.1,0.21,56.0,367.0,0.28,2.88,0.38,4.7,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2305,9.3,0.09,0.18,44.0,325.0,0.34,3.14,0.3,4.18,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2306,9.2,0.08,0.21,23.0,310.0,0.3,2.94,0.24,3.24,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2307,9.0,0.09,0.18,20.0,395.0,0.24,2.32,0.38,3.78,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2308,9.2,0.08,0.14,51.0,339.0,0.3,2.82,0.42,4.54,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2309,9.1,0.07,0.13,41.0,296.0,0.22,3.18,0.38,3.18,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2310,8.9,0.08,0.21,28.0,423.0,0.28,3.1,0.42,3.54,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
2311,8.8,0.07,0.29,20.0,240.0,0.26,2.9,0.38,3.18,pH is High (Alkali) -> Apply Gypsum / Organic manure to lower alkalinity | Organic Carbon is Low -> Increase FYM (Farmyard Manure) / Compost | Phosphorus is Low -> Increase DAP / Single Super Phosphate (SSP) | Zinc (Zn) is Low -> Apply Zinc Sulfate | Iron (Fe) is Low -> Apply Ferrous Sulfate
