S.No.,pH,EC_(dS/m),Organic_Carbon_(%),Phosphorus_P2O5_(Kg/ha),Potassium_K2O_(Kg/ha),Zinc_Zn_(ppm),Iron_Fe_(ppm),Copper_Cu_(ppm),Manganese_Mn_(ppm)
2472,8.5,0.1,0.21,49.0,282.0,0.26,4.1,0.3,2.98
2473,8.7,0.11,0.19,33.0,381.0,0.38,2.88,0.24,2.54
2474,8.5,0.12,0.23,23.0,423.0,0.3,2.72,0.36,3.78
2475,8.5,0.13,0.27,18.0,480.0,0.26,2.6,0.3,3.26
2476,8.6,0.125,0.21,20.0,339.0,0.32,3.54,0.26,3.82
2477,8.4,0.16,0.19,49.0,254.0,0.28,3.1,0.38,3.9
2478,8.7,0.11,0.15,23.0,367.0,0.3,3.26,0.42,4.3
2479,8.6,0.09,0.31,54.0,296.0,0.28,3.42,0.38,4.78
2480,8.5,0.12,0.27,23.0,437.0,0.32,3.86,0.36,3.36
2481,8.7,0.11,0.21,18.0,310.0,0.26,3.7,0.38,3.8
2482,8.6,0.11,0.13,26.0,494.0,0.32,3.1,0.24,3.74
2483,8.6,0.1,0.17,16.0,466.0,0.28,2.98,0.38,3.1
2484,8.6,0.11,0.14,20.0,310.0,0.38,3.26,0.3,4.28
2485,8.5,0.13,0.18,26.0,254.0,0.32,3.7,0.44,3.26
2486,8.3,0.11,0.21,41.0,395.0,0.26,3.6,0.32,4.7
2487,8.7,0.12,0.23,20.0,353.0,0.38,2.98,0.28,3.58
2488,8.8,0.11,0.16,18.0,296.0,0.3,3.54,0.36,3.74
2489,8.6,0.11,0.13,31.0,466.0,0.24,3.7,0.28,3.1
2490,8.6,0.1,0.21,38.0,480.0,0.22,3.48,0.3,2.98
2491,8.7,0.13,0.32,51.0,409.0,0.38,3.1,0.24,4.3
2492,8.7,0.11,0.38,20.0,310.0,0.3,2.46,0.28,4.78
2493,8.6,0.1,0.15,28.0,494.0,0.24,3.24,0.36,3.24
2494,8.8,0.11,0.11,20.0,552.0,0.38,3.78,0.32,3.94
2495,8.7,0.312,0.18,15.0,409.0,0.3,3.88,0.28,3.82
2496,8.6,0.14,0.21,46.0,339.0,0.26,4.24,0.42,3.42
2497,8.8,0.09,0.2,18.0,282.0,0.32,4.1,0.38,3.4
2498,8.5,0.13,0.31,61.0,254.0,0.26,2.82,0.3,4.26
2499,8.8,0.1,0.21,41.0,452.0,0.44,3.56,0.26,4.8
2500,8.7,0.11,0.24,26.0,494.0,0.4,3.78,0.44,3.58
2501,8.6,0.12,0.18,28.0,536.0,0.24,3.1,0.4,3.12
2502,8.7,0.12,0.31,41.0,296.0,0.32,2.42,0.28,3.78
2503,8.6,0.14,0.29,23.0,480.0,0.28,3.18,0.24,3.42
2504,8.7,0.1,0.18,18.0,508.0,0.3,3.74,0.38,3.1
2505,8.5,0.15,0.13,20.0,423.0,0.24,2.62,0.3,2.98
2506,8.7,0.14,0.24,28.0,310.0,0.38,3.6,0.26,4.36
2507,8.7,0.12,0.21,36.0,339.0,0.4,2.48,0.38,4.94
2508,8.5,0.13,0.18,23.0,395.0,0.38,3.28,0.44,3.28
2509,8.6,0.14,0.26,18.0,522.0,0.26,3.1,0.4,3.1
2510,8.7,0.13,0.19,20.0,480.0,0.3,3.46,0.38,3.74
2511,8.6,0.14,0.21,33.0,310.0,0.28,4.1,0.28,3.9
2512,8.7,0.11,0.32,38.0,353.0,0.32,2.92,0.24,2.82
2513,8.7,0.09,0.37,41.0,466.0,0.24,3.2,0.32,3.26
2514,8.6,0.1,0.31,59.0,508.0,0.26,3.1,0.38,3.4
2515,8.7,0.12,0.28,20.0,395.0,0.32,2.58,0.3,3.78
2516,8.6,0.1,0.21,23.0,310.0,0.28,3.42,0.24,4.3
2517,8.8,0.09,0.14,67.0,282.0,0.3,3.6,0.38,3.42
2518,8.7,0.11,0.19,51.0,409.0,0.24,3.18,0.3,3.64
2519,8.8,0.12,0.31,28.0,296.0,0.38,3.24,0.28,3.1
2520,8.8,0.1,0.27,20.0,466.0,0.3,3.78,0.32,2.98
2521,8.7,0.09,0.18,18.0,546.0,0.22,3.56,0.28,3.54
2522,8.7,0.08,0.13,23.0,522.0,0.24,3.9,0.38,3.9
2523,8.6,0.08,0.21,381.0,0.32,0.32,2.94,0.3,2.82
2524,8.5,0.11,0.32,20.0,325.0,0.3,2.42,0.28,3.54
2525,8.8,0.1,0.16,18.0,437.0,0.28,3.78,0.3,3.1
2526,8.7,0.09,0.11,51.0,480.0,0.32,3.28,0.28,2.98
2527,8.8,0.1,0.19,36.0,310.0,0.24,3.5,0.2,3.5
2528,8.6,0.08,0.14,41.0,254.0,0.38,2.46,0.32,2.98
2529,8.8,0.11,0.21,23.0,452.0,0.3,2.36,0.28,3.2
2530,8.8,0.11,0.31,18.0,268.0,0.24,2.9,0.44,3.18
2531,8.7,0.14,0.24,41.0,480.0,0.38,3.28,0.36,2.98
2532,8.6,0.12,0.23,26.0,536.0,0.24,3.78,0.26,3.24
2533,8.8,0.15,0.18,20.0,268.0,0.28,3.1,0.44,3.1
2534,8.8,0.1,0.14,18.0,240.0,0.32,2.46,0.38,2.43
2535,8.7,0.13,0.11,44.0,310.0,0.28,2.7,0.3,2.64
2536,8.7,0.11,0.17,36.0,409.0,0.34,3.28,0.24,3.2
2537,8.8,0.12,0.21,20.0,339.0,0.3,3.7,0.38,3.7
2538,8.7,0.11,0.18,26.0,268.0,0.28,3.42,0.24,2.98
2539,8.4,0.14,0.21,51.0,226.0,0.44,2.48,0.38,3.42
2540,8.0,0.14,0.27,20.0,310.0,0.3,3.14,0.42,3.24
2541,7.9,0.13,0.21,26.0,381.0,0.28,3.7,0.38,3.1
2542,8.2,0.13,0.18,15.0,409.0,0.3,2.9,0.26,2.82
2543,8.4,0.12,0.23,28.0,325.0,0.26,3.26,0.38,4.1
2544,8.4,0.12,0.18,46.0,282.0,0.3,3.78,0.42,4.76
2545,8.2,0.48,0.31,38.0,155.0,0.24,2.56,0.36,3.78
2546,8.4,0.45,0.24,23.0,198.0,0.38,3.28,0.38,2.82
2547,8.3,0.19,0.21,18.0,296.0,0.26,3.7,0.42,3.26
2548,8.1,0.41,0.16,20.0,169.0,0.32,2.92,0.38,3.42
2549,8.2,0.87,0.21,36.0,212.0,0.28,3.54,0.24,3.1
2550,8.2,0.61,0.29,28.0,240.0,0.3,3.2,0.28,2.94
2551,8.4,0.39,0.2,49.0,183.0,0.26,3.76,0.32,3.1
2552,7.9,3.27,0.17,44.0,226.0,0.38,3.1,0.26,2.46
2553,8.3,1.12,0.14,20.0,296.0,0.3,4.26,0.32,3.26
2554,7.9,2.24,0.21,18.0,268.0,0.26,3.78,0.38,3.8
2555,8.0,1.98,0.29,26.0,310.0,0.38,3.54,0.24,2.94
2556,8.4,0.68,0.18,23.0,212.0,0.3,3.1,0.36,3.24
2557,7.9,0.86,0.13,18.0,183.0,0.24,2.88,0.3,3.1
2558,8.1,0.46,0.24,20.0,296.0,0.38,2.72,0.28,3.18
2559,8.2,0.19,0.31,41.0,169.0,0.26,3.54,0.38,2.88
2560,8.4,0.1,0.27,33.0,296.0,0.3,3.42,0.32,3.1
2561,8.5,0.11,0.21,20.0,155.0,0.24,2.82,0.26,2.98
2562,8.3,0.08,0.18,41.0,198.0,0.36,3.1,0.38,3.54
2563,8.5,0.07,0.13,28.0,212.0,0.3,2.98,0.46,3.1
2564,8.8,0.18,0.15,20.0,325.0,0.26,4.1,0.4,2.96
2565,8.6,0.11,0.23,26.0,381.0,0.3,2.46,0.38,3.58
2566,8.7,0.08,0.33,46.0,353.0,0.28,2.78,0.28,3.1
2567,8.7,0.07,0.25,23.0,254.0,0.3,3.28,0.3,2.82
2568,8.6,0.07,0.21,41.0,198.0,0.24,3.1,0.28,3.24
2569,8.6,0.08,0.11,20.0,282.0,0.3,2.88,0.32,3.78
2570,8.5,0.1,0.14,26.0,212.0,0.28,2.56,0.42,3.2
2571,8.6,0.09,0.32,18.0,240.0,0.32,2.78,0.28,2.9
2572,8.8,0.11,0.25,38.0,381.0,0.24,3.58,0.32,3.28
2573,8.7,0.09,0.2,49.0,409.0,0.38,3.1,0.26,3.1
2574,8.8,0.08,0.29,26.0,2.68,0.3,2.96,0.44,2.48
2575,8.7,0.08,0.18,36.0,254.0,0.24,2.46,0.4,2.78
2576,8.8,0.069,0.11,20.0,396.0,0.36,3.28,0.38,3.28
2577,8.6,0.11,0.13,18.0,282.0,0.28,3.78,0.3,3.7
2578,8.7,0.1,0.18,23.0,254.0,0.38,2.48,0.28,2.98
2579,8.5,0.1,0.19,33.0,226.0,0.38,3.78,0.52,3.64
2580,8.7,0.09,0.21,20.0,198.0,0.24,3.1,0.36,2.94
2581,8.6,0.12,0.17,18.0,240.0,0.28,2.94,0.38,3.26
2582,8.3,0.18,0.12,28.0,296.0,0.36,3.54,0.44,3.7
2583,8.3,0.12,0.16,44.0,169.0,0.38,3.1,0.3,3.42
2584,8.5,0.1,0.18,31.0,226.0,0.22,3.26,0.28,3.1
2585,8.6,0.11,0.15,36.0,282.0,0.28,3.1,0.36,3.78
2586,8.8,0.1,0.21,49.0,325.0,0.36,2.46,0.3,3.24
2587,8.7,0.11,0.24,23.0,423.0,0.3,2.78,0.28,3.98
2588,8.7,0.13,0.16,18.0,240.0,0.28,3.2,0.32,4.32
2589,8.3,0.11,0.19,20.0,198.0,0.3,3.14,0.28,4.1
2590,8.6,0.12,0.31,33.0,310.0,0.26,3.18,0.34,2.48
2591,8.4,0.18,0.27,26.0,240.0,0.24,3.26,0.32,3.24
2592,8.2,0.11,0.21,20.0,226.0,0.38,3.78,0.28,3.7
2593,8.8,0.1,0.28,18.0,212.0,0.3,3.24,0.3,3.24
2594,8.7,0.15,0.19,49.0,198.0,0.28,3.1,0.3,3.1
2595,8.8,0.11,0.15,31.0,381.0,0.3,2.9,0.28,3.78
2596,8.6,0.09,0.27,23.0,226.0,0.26,3.26,0.32,3.54
2597,8.6,0.08,0.21,18.0,325.0,0.34,3.54,0.26,3.28
2598,8.5,0.08,0.29,20.0,198.0,0.3,3.1,0.38,3.18
2599,8.3,0.13,0.18,46.0,339.0,0.3,3.58,0.24,3.94
2600,8.5,8.0,0.15,54.0,409.0,0.28,3.24,0.38,3.26
2601,8.6,0.17,0.31,31.0,212.0,0.36,3.1,0.44,3.94
2602,8.6,0.11,0.27,20.0,367.0,0.44,2.46,0.28,3.1
2603,8.3,0.13,0.15,23.0,240.0,0.28,3.28,0.46,4.7
2604,8.5,0.25,0.21,18.0,296.0,0.36,3.1,0.32,3.26
2605,8.5,0.19,0.19,41.0,268.0,0.28,3.42,0.24,3.28
2606,8.4,0.12,0.22,23.0,325.0,0.36,3.78,0.36,3.1
2607,8.4,0.11,0.15,18.0,212.0,0.3,4.1,0.3,2.42
2608,8.5,0.1,0.18,26.0,310.0,0.24,4.24,0.32,3.2
2609,8.4,0.1,0.29,36.0,339.0,0.32,3.4,0.28,3.18
2610,8.4,0.13,0.21,31.0,268.0,0.28,2.94,0.36,4.26
2611,8.5,0.08,0.24,20.0,381.0,0.38,3.26,0.3,4.7
2612,8.6,0.1,0.317,28.0,409.0,0.42,3.1,0.44,3.2
2613,8.3,0.14,0.13,18.0,268.0,0.22,2.82,0.28,4.26
2614,8.1,0.11,0.28,23.0,353.0,0.36,3.54,0.32,4.1
2615,8.5,0.12,0.31,41.0,296.0,0.3,3.1,0.26,3.46
2616,8.6,0.1,0.26,31.0,254.0,0.24,3.46,0.32,3.28
2617,8.5,0.11,0.18,26.0,396.0,0.34,3.1,0.44,3.8
2618,8.6,0.13,0.13,44.0,282.0,0.3,2.98,0.38,2.98
2619,8.4,0.12,0.24,33.0,254.0,0.28,3.24,0.24,3.54
2620,8.5,0.15,0.31,26.0,423.0,0.32,3.7,0.38,3.78
2621,8.3,0.17,0.26,46.0,282.0,0.28,3.48,0.44,3.2
2622,8.5,0.12,0.11,33.0,353.0,0.34,3.72,0.4,4.1
2623,8.4,0.11,0.14,49.0,254.0,0.3,3.24,0.26,2.46
2624,8.6,0.26,0.19,56.0,226.0,0.22,3.18,0.32,3.78
2625,8.4,0.14,0.23,31.0,296.0,0.34,3.7,0.28,4.24
2626,8.7,0.09,0.28,28.0,381.0,0.3,3.24,0.34,4.1
2627,8.4,0.1,0.21,23.0,409.0,0.34,3.1,0.3,3.78
2628,8.6,0.09,0.18,56.0,296.0,0.28,2.9,0.24,3.54
2629,8.7,0.11,0.17,41.0,339.0,0.24,3.24,0.3,3.1
2630,8.4,0.11,0.11,23.0,268.0,0.26,3.44,0.26,3.26
2631,8.9,0.09,0.18,20.0,254.0,0.3,3.1,0.38,4.7
2632,8.4,0.11,0.21,28.0,339.0,0.28,2.98,0.44,4.1
2633,8.4,0.09,0.14,28.0,409.0,0.38,3.24,0.4,2.98
2634,8.6,0.14,0.18,41.0,226.0,0.34,3.74,0.28,4.18
2635,8.3,0.14,0.24,41.0,198.0,0.32,3.42,0.42,3.8
2636,8.1,0.15,0.13,23.0,282.0,0.24,2.98,0.36,3.44
2637,8.5,0.13,0.18,18.0,212.0,0.2,3.5,0.28,2.98
2638,8.4,0.11,0.15,26.0,310.0,0.26,3.1,0.34,4.24
2639,8.0,0.1,0.19,31.0,353.0,0.34,3.26,0.3,4.1
2640,8.3,0.12,0.23,20.0,367.0,0.3,3.44,0.26,3.26
2641,8.2,0.1,0.21,26.0,368.0,0.26,3.1,0.32,3.7
2642,8.5,0.08,0.17,18.0,226.0,0.3,3.26,0.34,4.84
2643,8.7,0.11,0.16,38.0,198.0,0.26,3.1,0.44,3.2
2644,8.1,0.09,0.13,26.0,310.0,0.36,3.28,0.4,3.14
2645,8.3,0.08,0.18,20.0,296.0,0.3,3.1,0.26,3.76
2646,8.0,0.11,0.21,18.0,353.0,0.24,3.78,0.34,4.3
2647,8.3,0.13,0.27,23.0,381.0,0.22,3.1,0.38,2.46
2648,8.0,0.11,0.19,31.0,212.0,0.34,3.54,0.24,3.2
2649,8.1,0.09,0.14,49.0,183.0,0.34,3.3,0.3,3.8
2650,8.1,0.08,0.18,59.0,353.0,0.22,3.46,0.28,4.24
2651,8.2,0.1,0.23,69.0,310.0,0.32,3.78,0.36,4.7
2652,8.0,0.42,0.2,41.0,296.0,0.26,3.42,0.3,3.22
2653,8.2,0.12,0.31,31.0,409.0,0.38,3.1,0.24,3.78
2654,8.1,0.16,0.15,28.0,254.0,0.26,3.54,0.38,2.98
2655,8.2,0.15,0.17,44.0,310.0,0.34,3.1,0.44,3.54
2656,8.4,0.14,0.16,23.0,367.0,0.4,3.14,0.4,3.8
2657,8.1,0.14,0.11,20.0,254.0,0.26,3.28,0.36,3.24
2658,8.3,0.12,0.13,46.0,325.0,0.28,3.1,0.4,3.7
2659,8.3,0.1,0.21,56.0,409.0,0.32,3.54,0.28,4.3
2660,8.2,0.11,0.15,26.0,226.0,0.22,3.1,0.32,4.1
2661,8.1,0.15,0.16,20.0,339.0,0.28,3.32,0.26,3.28
2662,8.5,0.12,0.18,18.0,437.0,0.34,2.98,0.34,3.46
2663,8.3,0.11,0.21,31.0,226.0,0.3,2.4,0.3,3.92
2664,8.4,0.11,0.16,41.0,452.0,0.24,2.56,0.28,3.18
2665,8.6,0.12,0.31,20.0,381.0,0.36,3.68,0.36,2.86
2666,8.8,0.11,0.23,28.0,254.0,0.24,3.1,0.28,3.22
2667,8.1,0.11,0.37,31.0,212.0,0.3,2.96,0.44,3.9
2668,8.2,0.12,0.19,44.0,353.0,0.26,3.24,0.3,4.36
2669,8.4,0.1,0.15,49.0,423.0,0.24,3.1,0.38,4.9
2670,8.4,0.13,0.23,59.0,480.0,0.3,2.86,0.28,2.46
2671,8.3,0.12,0.14,23.0,226.0,0.34,2.46,0.32,2.78
2672,8.0,0.11,0.18,33.0,198.0,0.28,3.28,0.26,3.54
2673,8.5,0.1,0.21,49.0,240.0,0.3,3.14,0.3,3.2
2674,8.3,0.08,0.27,51.0,2121.0,0.22,3.64,0.26,3.98
2675,8.2,0.11,0.29,49.0,367.0,0.36,2.86,0.3,2.56
2676,8.4,0.13,0.18,33.0,198.0,0.3,2.7,0.26,2.4
2677,8.1,0.08,0.21,23.0,310.0,0.32,3.24,0.32,3.54
2678,8.5,0.18,0.18,59.0,339.0,0.34,3.1,0.44,3.8
2679,8.3,0.21,0.29,33.0,423.0,0.28,2.88,0.52,3.78
2680,8.0,0.13,0.11,23.0,480.0,0.4,2.46,0.38,4.56
2681,8.2,0.11,0.17,54.0,282.0,0.26,3.18,0.34,4.78
2682,8.6,0.18,0.13,59.0,437.0,0.38,3.78,0.26,3.28
2683,8.5,0.1,0.19,31.0,254.0,0.3,3.2,0.38,3.44
2684,8.3,0.13,0.27,26.0,226.0,0.24,4.1,0.42,4.1
2685,8.4,0.69,0.3,20.0,296.0,0.36,2.98,0.34,3.1
2686,8.5,0.6,0.26,31.0,254.0,0.42,2.36,0.32,2.4
2687,8.4,0.8,0.14,33.0,240.0,0.28,3.0,0.42,2.64
2688,8.5,0.62,0.18,18.0,282.0,0.3,3.12,0.64,3.44
2689,8.6,0.55,0.22,33.0,409.0,0.22,3.42,0.52,2.7
2690,8.6,0.89,0.3,36.0,381.0,0.26,2.28,0.34,3.22
2691,8.7,0.82,0.2,38.0,367.0,0.38,2.76,0.38,4.2
2692,8.6,1.06,0.34,41.0,353.0,0.3,2.42,0.44,2.66
2693,8.5,0.74,0.32,28.0,310.0,0.24,3.12,0.42,2.54
2694,8.7,0.74,0.3,26.0,282.0,0.26,2.18,0.28,3.2
2695,8.7,0.81,0.28,23.0,254.0,0.3,2.48,0.32,2.54
2696,8.6,0.79,0.24,41.0,296.0,0.26,2.2,0.44,2.98
2697,8.8,0.78,0.28,44.0,381.0,0.32,2.96,0.28,3.64
2698,8.6,1.26,0.18,49.0,367.0,0.28,2.18,0.34,2.88
2699,8.6,0.92,0.19,38.0,268.0,0.3,2.42,0.24,3.64
2700,8.7,0.66,0.14,36.0,296.0,0.26,2.4,0.48,2.28
2701,8.6,0.58,0.1,41.0,310.0,0.3,2.12,0.26,3.14
2702,8.7,0.69,0.14,49.0,268.0,0.24,2.94,0.3,2.96
2703,8.6,0.64,0.29,6.0,381.0,0.22,3.28,0.46,2.8
2704,8.5,0.73,0.18,51.0,367.0,0.28,3.18,0.52,3.16
2705,8.6,1.08,0.2,38.0,254.0,0.36,2.92,0.44,3.2
2706,8.7,0.98,0.32,36.0,212.0,0.3,2.26,0.62,2.4
2707,8.6,1.13,0.14,41.0,240.0,0.28,2.22,0.24,3.62
2708,8.5,1.05,0.29,44.0,353.0,0.26,2.32,0.44,2.76
2709,8.6,1.19,0.27,46.0,339.0,0.32,2.18,0.32,2.14
2710,8.7,0.91,0.23,49.0,381.0,0.28,2.94,0.28,3.2
2711,8.5,0.88,0.32,38.0,367.0,0.24,3.14,0.32,2.96
2712,8.6,0.94,0.25,33.0,296.0,0.22,2.96,0.46,3.18
2713,8.5,1.2,0.18,31.0,240.0,0.38,3.32,0.24,3.46
2714,8.4,0.81,0.14,38.0,296.0,0.26,2.72,0.48,2.66
2715,8.5,0.87,0.13,38.0,254.0,0.3,2.92,0.36,2.8
2716,8.6,0.77,0.18,44.0,310.0,0.22,2.14,0.52,2.34
2717,8.4,1.01,0.21,46.0,339.0,0.38,3.32,0.26,3.4
2718,8.6,0.68,0.13,49.0,353.0,0.26,3.0,0.38,2.76
2719,8.5,0.88,0.27,38.0,367.0,0.32,2.18,0.4,2.84
2720,8.5,0.76,0.18,44.0,381.0,0.28,3.32,0.54,3.22
2721,8.6,1.25,0.13,41.0,395.0,0.26,2.28,0.52,3.46
2722,8.7,1.51,0.21,51.0,240.0,0.38,3.18,0.42,2.4
2723,8.6,1.04,0.17,54.0,254.0,0.26,3.24,0.26,2.76
2724,8.7,0.86,0.14,61.0,282.0,0.2,2.98,0.44,3.5
2725,8.8,0.59,0.11,64.0,310.0,0.38,3.0,0.46,2.8
2726,8.6,0.67,0.18,54.0,296.0,0.24,2.18,0.34,3.48
2727,8.5,0.83,0.21,41.0,381.0,0.28,2.98,0.54,2.4
2728,8.4,1.25,0.27,51.0,353.0,0.32,3.16,0.36,3.5
2729,8.7,1.11,0.14,49.0,226.0,0.28,2.28,0.42,2.64
2730,8.6,1.15,0.19,46.0,381.0,0.36,3.32,0.28,2.84
2731,8.8,0.98,0.23,51.0,353.0,0.4,2.48,0.24,2.32
2732,8.6,1.31,0.21,54.0,226.0,0.4,3.18,0.36,3.6
2733,8.5,1.24,0.27,41.0,226.0,0.22,2.26,0.22,3.14
2734,8.6,0.98,0.11,44.0,395.0,0.28,3.08,0.52,2.78
2735,8.6,1.08,0.18,41.0,310.0,0.36,2.98,0.44,3.38
2736,8.5,0.72,0.23,33.0,296.0,0.42,2.28,0.28,3.96
2737,8.4,0.61,0.18,44.0,282.0,0.28,3.18,0.48,3.44
2738,8.6,1.39,0.13,39.0,409.0,0.3,2.24,0.32,2.88
2739,8.6,1.06,0.21,51.0,452.0,0.22,3.12,0.48,3.32
2740,8.5,1.11,0.27,26.0,381.0,0.26,2.22,0.26,2.86
2741,8.7,1.36,0.14,39.0,480.0,0.38,2.44,0.22,3.32
2742,8.8,0.88,0.11,28.0,395.0,0.3,3.26,0.42,2.78
2743,8.6,1.01,0.17,37.0,240.0,0.24,2.18,0.25,3.26
2744,8.5,0.89,0.11,29.0,381.0,0.26,2.32,0.42,3.2
2745,8.5,1.03,0.17,41.0,339.0,0.3,3.1,0.38,3.48
2746,8.6,0.75,0.21,37.0,282.0,0.26,3.64,0.42,2.98
2747,8.7,0.58,0.14,28.0,240.0,0.32,2.16,0.36,3.44
2748,8.7,0.96,0.16,49.0,212.0,0.28,2.68,0.44,2.66
2749,8.6,0.85,0.23,41.0,240.0,0.3,3.2,0.36,3.32
2750,8.6,0.87,0.21,59.0,268.0,0.26,2.2,0.32,3.68
2751,8.5,0.96,0.18,61.0,254.0,0.3,3.36,0.28,3.18
2752,8.3,0.87,0.14,44.0,339.0,0.24,2.98,0.36,3.36
2753,8.8,0.76,0.17,38.0,317.0,0.22,2.64,0.4,3.76
2754,8.7,0.99,0.11,31.0,367.0,0.28,2.14,0.42,3.6
2755,8.5,0.74,0.23,54.0,240.0,0.36,3.44,0.38,3.2
2756,8.7,0.81,0.2,46.0,296.0,0.3,3.28,0.32,3.42
2757,8.6,0.74,0.18,51.0,353.0,0.28,2.98,0.42,3.1
2758,8.4,0.69,0.13,46.0,321.0,0.26,2.8,0.38,3.2
2759,8.3,0.53,0.2,41.0,367.0,0.32,3.4,0.4,3.16
2760,8.6,0.31,0.14,39.0,313.0,0.28,3.22,0.36,3.22
2761,8.4,0.88,0.3,42.0,310.0,0.24,3.38,0.28,3.26
2762,8.6,0.47,0.19,49.0,254.0,0.24,2.46,0.3,3.24
2763,8.7,0.39,0.15,53.0,395.0,0.22,2.32,0.42,3.28
2764,8.4,0.41,0.18,59.0,310.0,0.36,3.2,0.38,3.2
2765,8.3,0.68,0.11,41.0,296.0,0.3,2.32,0.44,3.44
2766,8.5,0.71,0.13,36.0,282.0,0.24,2.14,0.24,3.22
2767,8.6,0.91,0.19,23.0,409.0,0.38,2.28,0.32,3.28
2768,8.7,0.68,0.22,26.0,452.0,0.26,3.12,0.4,3.2
2769,8.8,0.81,0.18,41.0,381.0,0.36,3.1,0.34,3.32
2770,8.5,0.47,0.13,49.0,480.0,0.44,2.844,0.36,3.14
2771,8.4,0.59,0.19,36.0,395.0,0.4,2.22,0.28,2.98
2772,8.6,0.61,0.1,29.0,240.0,0.3,2.98,0.24,2.34
2773,8.4,0.78,0.22,31.0,381.0,0.22,2.32,0.42,3.2
2774,8.5,0.38,0.18,39.0,339.0,0.36,2.2,0.26,2.76
2775,8.6,0.71,0.14,41.0,282.0,0.28,2.64,0.24,2.8
2776,8.4,0.46,0.11,54.0,240.0,0.34,2.76,0.22,2.28
2777,8.3,0.37,0.16,48.0,212.0,0.22,2.18,0.34,3.2
2778,8.5,0.58,0.21,46.0,240.0,0.38,2.6,0.28,3.2
2779,8.7,0.91,0.14,51.0,268.0,0.42,2.44,0.42,3.18
2780,8.4,0.63,0.13,39.0,254.0,0.28,3.12,0.28,3.22
2781,8.6,0.78,0.14,42.0,339.0,0.36,2.9,0.36,2.18
2782,8.4,0.81,0.3,37.0,317.0,0.44,3.12,0.22,2.34
2783,8.6,0.39,0.19,23.0,367.0,0.28,3.6,0.34,2.22
2784,8.7,0.78,0.15,31.0,240.0,0.34,3.78,0.28,2.98
2785,8.5,0.81,0.18,38.0,296.0,0.28,3.1,0.4,2.32
2786,8.4,0.38,0.11,20.0,353.0,0.36,3.6,0.48,3.22
2787,8.3,0.63,0.13,18.0,321.0,0.42,2.86,0.32,3.24
2788,8.2,0.78,0.19,44.0,367.0,0.38,2.7,0.28,2.98
2789,8.6,0.41,0.22,51.0,313.0,0.42,2.44,0.42,2.22
2790,8.5,0.27,0.18,33.0,452.0,0.28,2.98,0.44,3.32
2791,8.4,0.58,0.13,23.0,268.0,0.36,3.1,0.38,2.28
2792,8.3,0.36,0.19,49.0,437.0,0.46,2.64,0.44,2.32
2793,8.5,0.58,0.1,26.0,310.0,0.32,2.72,0.36,2.18
2794,8.4,0.47,0.22,18.0,466.0,0.28,2.88,0.36,3.24
2795,8.3,0.81,0.18,44.0,226.0,0.34,3.2,0.42,3.2
2796,8.6,0.67,0.14,54.0,409.0,0.44,3.18,0.24,2.48
2797,8.4,0.41,0.11,23.0,268.0,0.28,2.64,0.32,2.16
2798,8.7,0.98,0.16,31.0,395.0,0.32,2.4,0.36,2.76
2799,8.3,0.91,0.21,38.0,480.0,0.28,2.48,0.22,3.32
2800,8.2,0.39,0.14,20.0,296.0,0.38,3.12,0.38,3.2
2801,8.5,0.58,0.13,18.0,353.0,0.22,2.28,0.42,3.44
2802,8.6,0.78,0.19,44.0,254.0,0.26,2.46,0.24,3.68
2803,8.4,0.49,0.18,51.0,325.0,0.22,2.68,0.44,2.86
2804,8.1,0.78,0.28,33.0,240.0,0.3,2.8,0.32,3.22
2805,8.6,0.89,0.11,23.0,254.0,0.26,3.2,0.28,2.8
2806,8.5,0.64,0.18,49.0,395.0,0.32,2.78,0.24,3.36
2807,8.4,0.88,0.24,26.0,339.0,0.28,2.36,0.22,3.28
2808,8.4,0.8,0.21,18.0,310.0,0.32,2.24,0.36,3.66
2809,8.6,0.71,0.18,44.0,0.24,0.28,3.2,0.34,3.2
2810,8.0,0.93,0.16,34.0,298.0,0.24,2.12,0.4,3.46
2811,8.4,0.98,0.18,38.0,327.0,0.24,2.12,0.38,3.48
2812,8.4,0.86,0.16,41.0,345.0,0.22,2.1,0.34,3.26
2813,8.4,1.05,0.2,37.0,281.0,0.2,2.16,0.42,3.2
2814,8.5,1.2,0.18,30.0,312.0,0.2,2.1,0.38,3.28
2815,8.4,0.86,0.16,49.0,329.0,0.26,2.12,0.42,3.48
2816,8.5,0.76,0.16,31.0,281.0,0.24,2.12,0.42,3.48
2817,8.6,0.83,0.14,29.0,297.0,0.22,2.18,0.4,3.2
2818,8.6,0.72,0.12,38.0,328.0,0.28,2.08,0.38,3.28
2819,8.4,0.76,0.12,41.0,301.0,0.2,2.1,0.38,3.28
2820,8.3,0.59,0.24,35.0,326.0,0.3,2.14,0.32,3.2
2821,8.2,0.73,0.24,47.0,326.0,0.3,2.16,0.36,3.28
2822,8.4,1.01,0.22,41.0,322.0,0.26,2.12,0.38,3.42
2823,8.6,0.8,0.22,36.0,330.0,0.24,2.2,0.38,3.46
2824,8.5,0.89,0.24,42.0,301.0,0.28,2.18,0.36,3.64
2825,8.4,1.04,0.22,38.0,272.0,0.22,2.12,0.38,3.28
2826,8.2,0.83,0.2,46.0,349.0,0.26,2.12,0.38,3.28
